game_id,season,game_date,home_team,away_team,home_win,margin,home_ppg,away_ppg,home_papg,away_papg,ppg_diff,papg_diff,home_win_rate,away_win_rate,win_rate_diff,home_rest_days,away_rest_days,rest_diff,home_series_wins,away_series_wins,series_wins_diff,is_finals,home_court,recent_win_rate_diff,recent_margin_diff,fg_pct_diff,fg3_pct_diff,reb_diff,ast_diff,tov_diff,h2h_win_rate_diff
42100223,2021-22,2022-05-06,DAL,PHX,1,9,106.375,114.75,105.5,110.25,-8.375,4.75,0.5,0.75,-0.25,2.0,2.0,0.0,0,2,-2,0,1,-0.4,-6.8,-0.10299999999999987,-0.020399999999999974,-1.2000000000000028,-10.2,1.5999999999999996,-1.0
42100213,2021-22,2022-05-07,MIL,BOS,1,2,105.14285714285714,108.66666666666667,96.28571428571429,103.83333333333333,-3.5238095238095326,7.547619047619037,0.7142857142857143,0.8333333333333334,-0.11904761904761907,1.0,1.0,0.0,1,1,0,0,1,0.0,6.200000000000001,0.013400000000000023,-0.019600000000000062,9.0,-3.8000000000000007,0.40000000000000036,0.0
42100233,2021-22,2022-05-07,GSW,MEM,1,30,115.42857142857143,113.75,110.28571428571429,109.125,1.6785714285714306,-1.1607142857142918,0.7142857142857143,0.625,0.0892857142857143,1.0,1.0,0.0,1,1,0,0,1,0.0,-2.6,0.042800000000000005,-0.025000000000000078,-7.0,3.8000000000000007,0.6000000000000014,0.0
42100204,2021-22,2022-05-08,PHI,MIA,1,8,107.0,106.375,102.55555555555556,97.625,0.625,-4.930555555555557,0.5555555555555556,0.75,-0.19444444444444442,1.0,1.0,0.0,1,2,-1,0,1,-0.4,-5.4,0.027600000000000013,0.01919999999999994,-2.0,1.8000000000000007,-1.799999999999999,-0.3333333333333333
42100224,2021-22,2022-05-08,DAL,PHX,1,10,106.0,112.44444444444444,104.22222222222223,109.44444444444444,-6.444444444444443,5.222222222222214,0.5555555555555556,0.6666666666666666,-0.11111111111111105,1.0,1.0,0.0,1,2,-1,0,1,-0.20000000000000007,-6.0,-0.08820000000000006,-0.06300000000000006,-3.799999999999997,-6.199999999999999,3.1999999999999993,-0.3333333333333333
42100214,2021-22,2022-05-09,MIL,BOS,0,-8,104.875,107.57142857142857,96.875,103.71428571428571,-2.6964285714285694,6.839285714285708,0.75,0.7142857142857143,0.0357142857142857,1.0,1.0,0.0,2,1,1,0,1,0.20000000000000007,2.4000000000000004,0.030000000000000082,-0.023400000000000032,6.400000000000006,-4.400000000000002,-0.20000000000000107,0.3333333333333333
42100234,2021-22,2022-05-09,GSW,MEM,1,3,118.75,113.55555555555556,110.5,112.77777777777777,5.194444444444443,2.2777777777777715,0.75,0.5555555555555556,0.19444444444444442,1.0,1.0,0.0,2,1,1,0,1,0.0,8.2,0.06739999999999996,0.010599999999999998,-3.6000000000000014,6.800000000000001,-0.7999999999999989,0.3333333333333333
42100205,2021-22,2022-05-10,MIA,PHI,1,35,106.55555555555556,107.9,99.66666666666667,103.1,-1.3444444444444485,3.433333333333323,0.6666666666666666,0.6,0.06666666666666665,1.0,1.0,0.0,2,2,0,0,1,0.0,-5.6,-0.054200000000000026,-0.08420000000000005,0.0,-2.1999999999999993,0.5999999999999996,0.0
42100225,2021-22,2022-05-10,PHX,DAL,1,30,111.3,106.5,109.6,103.9,4.799999999999997,-5.699999999999989,0.6,0.6,0.0,1.0,1.0,0.0,2,2,0,0,1,0.0,4.0,0.07860000000000006,0.02579999999999999,7.0,4.800000000000001,-4.6,0.0
42100215,2021-22,2022-05-11,BOS,MIL,0,-3,108.625,105.22222222222223,104.25,99.0,3.4027777777777715,-5.25,0.75,0.6666666666666666,0.08333333333333337,1.0,1.0,0.0,2,2,0,0,1,0.0,4.4,-0.008400000000000074,0.07380000000000009,-5.0,4.800000000000001,-0.5999999999999996,0.0
